,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,4.061017989442917e-06,6953,"{'main': [(16, 'elu'), (32, 'relu'), (64, 'relu'), (40, 'elu'), (16, 'relu'), (1, '')], 'skip': []}","[2, 4, 13, 8, 1, 15]"
1,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,1.6753023373894393e-05,9313,"{'main': [(64, 'relu'), (64, 'relu'), (16, 'elu'), (1, '')], 'skip': []}","[13, 13, 2, 15]"
2,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,1.8208922483609058e-05,9313,"{'main': [(64, 'relu'), (64, 'relu'), (16, 'swish'), (1, '')], 'skip': []}","[13, 13, 0, 15]"
3,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,1.2532750588434283e-06,9377,"{'main': [(40, 'relu'), (16, 'elu'), (16, 'relu'), (40, 'relu'), (40, 'swish'), (48, 'swish'), (32, 'relu'), (1, '')], 'skip': []}","[7, 2, 1, 7, 6, 9, 4, 15]"
4,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,4.706495928985532e-06,10153,"{'main': [(40, 'relu'), (40, 'elu'), (32, 'elu'), (32, 'relu'), (48, 'elu'), (40, 'elu'), (1, '')], 'skip': []}","[7, 8, 5, 4, 11, 8, 15]"
5,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,2.261641611767118e-06,10265,"{'main': [(32, 'relu'), (16, 'elu'), (64, 'swish'), (48, 'swish'), (16, 'relu'), (40, 'elu'), (48, 'swish'), (1, '')], 'skip': []}","[4, 2, 12, 9, 1, 8, 9, 15]"
6,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,2.901712832681369e-06,11169,"{'main': [(40, 'swish'), (32, 'relu'), (64, 'swish'), (40, 'swish'), (40, 'elu'), (16, 'relu'), (16, 'relu'), (1, '')], 'skip': []}","[6, 4, 12, 6, 8, 1, 1, 15]"
7,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,2.9757704851363087e-06,11249,"{'main': [(32, 'elu'), (48, 'elu'), (48, 'relu'), (32, 'relu'), (48, 'swish'), (32, 'relu'), (16, 'swish'), (1, '')], 'skip': []}","[5, 11, 10, 4, 9, 4, 0, 15]"
8,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,3.0547687401849544e-06,11265,"{'main': [(40, 'relu'), (32, 'relu'), (40, 'relu'), (16, 'elu'), (40, 'elu'), (64, 'relu'), (32, 'elu'), (1, '')], 'skip': []}","[7, 4, 7, 2, 8, 13, 5, 15]"
9,1.0,1.0,1.0,1.0,32768,1300,0,0,0.0,1.093824266718002e-06,11297,"{'main': [(32, 'swish'), (48, 'relu'), (64, 'relu'), (16, 'relu'), (16, 'elu'), (48, 'swish'), (48, 'swish'), (1, '')], 'skip': []}","[3, 10, 13, 1, 2, 9, 9, 15]"
