,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size
0,0.9967714548110962,0.0,0.0,0.0,16777216,0,54166,0,100000.0,tensor(0.3574),28151
1,0.9972472190856934,0.583945631980896,0.5721986889839172,0.40648213028907776,16777216,31630,22536,23648,0.0002074619527199856,tensor(0.2353),28151
2,0.9981581568717957,0.7619170546531677,0.696246325969696,0.5718363523483276,16777216,41270,12896,18005,7.93930114832073e-05,tensor(0.1606),28151
3,0.9985109567642212,0.7640586495399475,0.7722997665405273,0.6235836744308472,16777216,41386,12780,12202,5.4079927279142585e-05,tensor(0.1310),28151
4,0.9986701011657715,0.8538382053375244,0.7626311182975769,0.6745671629905701,16777216,46249,7917,14395,3.48894365991588e-05,tensor(0.1186),28151
5,0.998828649520874,0.8426134586334229,0.8039916753768921,0.6990182995796204,16777216,45641,8525,11127,3.0177006455450282e-05,tensor(0.1067),28151
6,0.9989092350006104,0.859653651714325,0.8131745457649231,0.7178712487220764,16777216,46564,7602,10698,2.513140270347825e-05,tensor(0.0995),28151
7,0.9989697933197021,0.8750507831573486,0.81842041015625,0.7327849864959717,16777216,47398,6768,10516,2.2539504407381994e-05,tensor(0.0941),28151
8,0.998998761177063,0.8938817977905273,0.8141857981681824,0.7424251437187195,16777216,48418,5748,11050,2.064343821749147e-05,tensor(0.0915),28151
9,0.9990336894989014,0.9031865000724792,0.8168642520904541,0.7510977387428284,16777216,48922,5244,10968,1.931125189261179e-05,tensor(0.0885),28151
10,0.9990500807762146,0.9121773838996887,0.8154780864715576,0.756113588809967,16777216,49409,4757,11180,1.848276205341438e-05,tensor(0.0867),28151
11,0.9990870356559753,0.9182512760162354,0.8203935623168945,0.7645530700683594,16777216,49738,4428,10889,1.7437236465742138e-05,tensor(0.0837),28151
12,0.9991360306739807,0.9140419960021973,0.83421790599823,0.7735333442687988,16777216,49510,4656,9839,1.670054001014117e-05,tensor(0.0799),28151
13,0.9991668462753296,0.9124174118041992,0.8425736427307129,0.7795268297195435,16777216,49422,4744,9234,1.6108288482340093e-05,tensor(0.0769),28151
14,0.9991930723190308,0.9144666194915771,0.8476162552833557,0.7853530049324036,16777216,49533,4633,8905,1.559241654178549e-05,tensor(0.0751),28151
15,0.9992055296897888,0.9141528010368347,0.8508634567260742,0.7879067659378052,16777216,49516,4650,8679,1.537362617300037e-05,tensor(0.0737),28151
16,0.999232292175293,0.9201528429985046,0.853500247001648,0.794646143913269,16777216,49841,4325,8555,1.469946691141159e-05,tensor(0.0718),28151
17,0.9992476105690002,0.9190266728401184,0.8580243587493896,0.7977180480957031,16777216,49780,4386,8237,1.4443689547475837e-05,tensor(0.0707),28151
18,0.9992568492889404,0.9215559363365173,0.8586245775222778,0.8001442551612854,16777216,49917,4249,8219,1.4160507660527087e-05,tensor(0.0700),28151
19,0.999262273311615,0.9259313941001892,0.8570549488067627,0.8020661473274231,16777216,50154,4012,8365,1.3933143222086484e-05,tensor(0.0694),28151
20,0.9992734789848328,0.9257467985153198,0.8599406480789185,0.8044534921646118,16777216,50144,4022,8167,1.3768376857037353e-05,tensor(0.0683),28151
21,0.9992875456809998,0.928885281085968,0.8613198399543762,0.8080363869667053,16777216,50314,3852,8101,1.3392483658127786e-05,tensor(0.0674),28151
22,0.9993073344230652,0.9276667833328247,0.8670773506164551,0.8121676445007324,16777216,50248,3918,7703,1.3161928557472867e-05,tensor(0.0657),28151
