,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,6.78902943036519e-05,5425,"{'main': [(64, 'relu'), (16, 'swish'), (16, 'elu'), (1, '')], 'skip': []}","[13, 0, 2, 15]"
1,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,4.445377271622419e-06,11817,"{'main': [(48, 'elu'), (48, 'relu'), (16, 'elu'), (32, 'swish'), (32, 'swish'), (40, 'relu'), (64, 'swish'), (1, '')], 'skip': []}","[11, 10, 2, 3, 3, 7, 12, 15]"
2,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,2.4563514671172015e-06,12185,"{'main': [(48, 'swish'), (32, 'relu'), (32, 'elu'), (48, 'elu'), (32, 'relu'), (40, 'swish'), (48, 'elu'), (1, '')], 'skip': []}","[9, 4, 5, 11, 4, 6, 11, 15]"
3,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,2.242222535642213e-06,12553,"{'main': [(48, 'relu'), (16, 'swish'), (16, 'elu'), (40, 'elu'), (48, 'elu'), (64, 'relu'), (40, 'relu'), (1, '')], 'skip': []}","[10, 0, 2, 8, 11, 13, 7, 15]"
4,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,1.646976852498483e-05,13985,"{'main': [(40, 'elu'), (48, 'relu'), (64, 'swish'), (48, 'relu'), (64, 'elu'), (1, '')], 'skip': []}","[8, 10, 12, 10, 14, 15]"
5,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,7.30925285097328e-06,14217,"{'main': [(64, 'relu'), (64, 'relu'), (16, 'swish'), (64, 'elu'), (40, 'elu'), (16, 'swish'), (32, 'relu'), (1, '')], 'skip': []}","[13, 13, 0, 14, 8, 0, 4, 15]"
6,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,2.3655099994357442e-06,8049,"{'main': [(48, 'relu'), (40, 'relu'), (40, 'elu'), (16, 'relu'), (40, 'relu'), (1, '')], 'skip': []}","[10, 7, 8, 1, 7, 15]"
7,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,6.787322945456253e-06,8777,"{'main': [(32, 'relu'), (40, 'swish'), (40, 'elu'), (40, 'relu'), (32, 'elu'), (16, 'swish'), (16, 'swish'), (1, '')], 'skip': []}","[4, 6, 8, 7, 5, 0, 0, 15]"
8,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,1.3940677490609232e-05,9705,"{'main': [(48, 'swish'), (32, 'relu'), (32, 'swish'), (40, 'relu'), (64, 'relu'), (1, '')], 'skip': []}","[9, 4, 3, 7, 13, 15]"
9,1.0,1.0,1.0,1.0,32768,1350,0,0,0.0,1.1471121979411691e-05,11305,"{'main': [(40, 'elu'), (40, 'relu'), (32, 'relu'), (32, 'swish'), (64, 'relu'), (32, 'elu'), (16, 'swish'), (1, '')], 'skip': []}","[8, 7, 4, 3, 13, 5, 0, 15]"
