,loss
0,-1.6635593175888062
1,-2.725792407989502
2,-1.7946569919586182
3,-4.540264129638672
4,-3.8395020961761475
5,-4.337291240692139
6,-1.9315478801727295
7,-2.90858793258667
8,-4.82960844039917
9,-2.8462111949920654
