,loss
0,-1.2296013832092285
1,-3.4296727180480957
2,-3.0517711639404297
3,-1.56696355342865
4,-2.5199029445648193
5,-3.1185030937194824
6,-4.06192684173584
7,-3.1397390365600586
8,-3.1651134490966797
9,-2.7498795986175537
