,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size
149,0.9993739128112793,0.9392393827438354,0.9307173490524292,0.8778618574142456,16777216,75497,4884,5620,8.33497007185237e-06,tensor(0.0417),36423
150,0.9993788599967957,0.9391149878501892,0.9317772388458252,0.8786957859992981,16777216,75487,4894,5527,8.242810679031973e-06,tensor(0.0415),36423
151,0.9993816614151001,0.9389034509658813,0.9324997067451477,0.8791528940200806,16777216,75470,4911,5463,8.251000934040652e-06,tensor(0.0412),36423
152,0.9993871450424194,0.9392144680023193,0.9332929253578186,0.8801310658454895,16777216,75495,4886,5396,8.16329653795821e-06,tensor(0.0409),36423
153,0.9993896484375,0.938866138458252,0.9340784549713135,0.8805232048034668,16777216,75467,4914,5326,8.109733712801252e-06,tensor(0.0407),36423
154,0.9993906617164612,0.9391025304794312,0.9340708255767822,0.880724310874939,16777216,75486,4895,5328,8.122910296483484e-06,tensor(0.0406),36423
155,0.9993944764137268,0.9390652179718018,0.9348434805870056,0.8813782930374146,16777216,75483,4898,5261,8.049526557080021e-06,tensor(0.0403),36423
156,0.9994018077850342,0.9394260048866272,0.9359560608863831,0.8826857209205627,16777216,75512,4869,5167,7.940874722418462e-06,tensor(0.0399),36423
157,0.9994035363197327,0.9386173486709595,0.9369969964027405,0.8828960657119751,16777216,75447,4934,5073,7.928659298427141e-06,tensor(0.0398),36423
158,0.9994058609008789,0.9392518401145935,0.936897337436676,0.8833688497543335,16777216,75498,4883,5085,7.881416795066743e-06,tensor(0.0396),36423
159,0.9994120597839355,0.9386919736862183,0.9385985732078552,0.8843840956687927,16777216,75453,4928,4936,7.822152688885387e-06,tensor(0.0392),36423
160,0.9994156360626221,0.9388910531997681,0.9391247034072876,0.885028064250946,16777216,75469,4912,4892,7.779485526233924e-06,tensor(0.0390),36423
161,0.9994151592254639,0.9391771554946899,0.9387800693511963,0.8849760890007019,16777216,75492,4889,4923,7.76924041277409e-06,tensor(0.0391),36423
162,0.9994174242019653,0.9397121071815491,0.9387544393539429,0.885428249835968,16777216,75535,4846,4928,7.71450392318335e-06,tensor(0.0388),36423
163,0.9994245767593384,0.939513087272644,0.9403319358825684,0.8866541981697083,16777216,75519,4862,4792,7.648226538574412e-06,tensor(0.0386),36423
164,0.9994293451309204,0.9400231242179871,0.9408190250396729,0.8875420093536377,16777216,75560,4821,4753,7.5607677659003295e-06,tensor(0.0383),36423
165,0.9994281530380249,0.9395877122879028,0.9409690499305725,0.8872871994972229,16777216,75525,4856,4738,7.6459874651658e-06,tensor(0.0383),36423
166,0.9994322657585144,0.9394508600234985,0.9418998956680298,0.8879925608634949,16777216,75514,4867,4658,7.624451557291727e-06,tensor(0.0381),36423
167,0.9994330406188965,0.9391647577285767,0.9423065185546875,0.8880980610847473,16777216,75491,4890,4622,7.557917318156416e-06,tensor(0.0380),36423
168,0.9994369149208069,0.9389781355857849,0.9432377815246582,0.8887580633163452,16777216,75476,4905,4542,7.513504292805462e-06,tensor(0.0379),36423
169,0.9994418025016785,0.9392269253730774,0.9439831972122192,0.8896430730819702,16777216,75496,4885,4480,7.4347319481171756e-06,tensor(0.0374),36423
170,0.9994440078735352,0.9396001696586609,0.9440867900848389,0.8900700211524963,16777216,75526,4855,4473,7.405560399053433e-06,tensor(0.0372),36423
171,0.9994474649429321,0.9397370219230652,0.9446493983268738,0.8906930088996887,16777216,75537,4844,4426,7.3042623531745115e-06,tensor(0.0372),36423
172,0.9994488954544067,0.939513087272644,0.9451334476470947,0.890921950340271,16777216,75519,4862,4384,7.294601942064179e-06,tensor(0.0369),36423
173,0.9994508624076843,0.9393140077590942,0.9457025527954102,0.8912484049797058,16777216,75503,4878,4335,7.277492913544623e-06,tensor(0.0368),36423
174,0.9994540214538574,0.9392891526222229,0.9463531374931335,0.8918038010597229,16777216,75501,4880,4280,7.165293541562541e-06,tensor(0.0368),36423
175,0.9994519948959351,0.9398862719535828,0.9454142451286316,0.8915072679519653,16777216,75549,4832,4362,7.263780936068473e-06,tensor(0.0368),36423
