,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size
0,0.9942105412483215,0.0,0.0,0.0,16777216,0,97131,0,100000.0,tensor(0.3202),26215
1,0.9942219853401184,0.0038813562132418156,0.6708185076713562,0.003873977577313781,16777216,377,96754,185,0.09921116486101543,tensor(0.2768),26215
2,0.9941936135292053,0.1098516434431076,0.49343323707580566,0.09871859848499298,16777216,10670,86461,10954,0.012900665042905747,tensor(0.2655),26215
3,0.9943008422851562,0.16693949699401855,0.524502694606781,0.1449955701828003,16777216,16215,80916,14700,0.006298393354671845,tensor(0.2557),26215
4,0.9944466352462769,0.19771236181259155,0.5574941039085388,0.1708936244249344,16777216,19204,77927,15243,0.0036939849010803514,tensor(0.2475),26215
5,0.9945225119590759,0.2991527020931244,0.549489438533783,0.24023182690143585,16777216,29057,68074,23823,0.001773909131266372,tensor(0.2403),26215
6,0.9946627020835876,0.3613470494747162,0.560581386089325,0.28158822655677795,16777216,35098,62033,27512,0.0011587908313324105,tensor(0.2308),26215
7,0.9949294924736023,0.41388434171676636,0.588249921798706,0.3209148347377777,16777216,40201,56930,28139,0.0006744000361053855,tensor(0.2181),26215
8,0.9951784610748291,0.4384388029575348,0.6177883148193359,0.3448873460292816,16777216,42586,54545,26347,0.00043331053590579447,tensor(0.2050),26215
9,0.9955040812492371,0.48009389638900757,0.6516307592391968,0.3820384740829468,16777216,46632,50499,24930,0.00033883196194665503,tensor(0.1908),26215
10,0.9957979917526245,0.5189898014068604,0.679499089717865,0.41692855954170227,16777216,50410,46721,23777,0.00029634034976165895,tensor(0.1793),26215
11,0.9960724711418152,0.5712903141975403,0.6958692073822021,0.4571480453014374,16777216,55490,41641,24252,0.00024314011422050638,tensor(0.1697),26215
12,0.9962462186813354,0.641823947429657,0.6886301636695862,0.49745848774909973,16777216,62341,34790,28188,0.00017357762380508775,tensor(0.1628),26215
13,0.9963961243629456,0.6654621362686157,0.6979785561561584,0.5166826248168945,16777216,64637,32494,27969,0.00015171595484531663,tensor(0.1575),26215
14,0.9965495467185974,0.6704244613647461,0.7156248688697815,0.5293883085250854,16777216,65119,32012,25877,0.00014038425512424038,tensor(0.1517),26215
15,0.9966829419136047,0.6793814301490784,0.7291763424873352,0.5424942374229431,16777216,65989,31142,24509,0.00012162419245784442,tensor(0.1464),26215
16,0.9967939257621765,0.6955657601356506,0.7361189723014832,0.5567449331283569,16777216,67561,29570,24219,0.00010403350461689077,tensor(0.1415),26215
17,0.9969059228897095,0.7165477275848389,0.7405961155891418,0.5727888345718384,16777216,69599,27532,24378,8.895368789397784e-05,tensor(0.1369),26215
18,0.9970109462738037,0.7409992814064026,0.7422678470611572,0.5893614292144775,16777216,71974,25157,24991,7.270427103464778e-05,tensor(0.1325),26215
19,0.9971233606338501,0.7629489898681641,0.7459609508514404,0.6055995225906372,16777216,74106,23025,25237,6.27378111573665e-05,tensor(0.1281),26215
20,0.9972261786460876,0.7788347601890564,0.7512015700340271,0.6191298365592957,16777216,75649,21482,25055,5.662477779242904e-05,tensor(0.1243),26215
21,0.9973110556602478,0.7936086058616638,0.7546157836914062,0.6308174729347229,16777216,77084,20047,25066,5.233871907375414e-05,tensor(0.1207),26215
22,0.99741131067276,0.8041613698005676,0.7619052529335022,0.6426608562469482,16777216,78109,19022,24409,4.8392621193775916e-05,tensor(0.1170),26215
23,0.9974950551986694,0.8083104491233826,0.7703372240066528,0.6513464450836182,16777216,78512,18619,23407,4.5882087618313963e-05,tensor(0.1135),26215
24,0.9975646734237671,0.8108945488929749,0.7778831124305725,0.6584379076957703,16777216,78763,18368,22490,4.3493183869308544e-05,tensor(0.1106),26215
25,0.9976295232772827,0.8161761164665222,0.7834293842315674,0.6659274697303772,16777216,79276,17855,21915,4.111921517960434e-05,tensor(0.1081),26215
26,0.997700035572052,0.824546217918396,0.7880138754844666,0.6748542189598083,16777216,80089,17042,21545,3.714155300550888e-05,tensor(0.1056),26215
27,0.9977739453315735,0.8322883248329163,0.7933521866798401,0.684003472328186,16777216,80841,16290,21057,3.3869691142852514e-05,tensor(0.1026),26215
28,0.997851550579071,0.839309811592102,0.7995586395263672,0.6934114694595337,16777216,81523,15608,20437,3.1295521035886803e-05,tensor(0.0994),26215
29,0.9979270100593567,0.8450649380683899,0.8062114715576172,0.7023900151252747,16777216,82082,15049,19730,2.8831084578996898e-05,tensor(0.0964),26215
30,0.9980023503303528,0.8503567576408386,0.813144862651825,0.7113537788391113,16777216,82596,14535,18980,2.6943419433988185e-05,tensor(0.0935),26215
31,0.998065710067749,0.8544851541519165,0.8191975355148315,0.7189061641693115,16777216,82997,14134,18318,2.5628910164340792e-05,tensor(0.0908),26215
32,0.9981222748756409,0.8584179878234863,0.8244734406471252,0.7257794737815857,16777216,83379,13752,17751,2.4868141508784708e-05,tensor(0.0883),26215
33,0.9981752038002014,0.8621758222579956,0.8293784260749817,0.7322904467582703,16777216,83744,13387,17228,2.39650482516317e-05,tensor(0.0860),26215
34,0.9982256889343262,0.8655732870101929,0.834191620349884,0.73851478099823,16777216,84074,13057,16711,2.2874355023085726e-05,tensor(0.0839),26215
35,0.9982660412788391,0.8681677579879761,0.8381306529045105,0.7435040473937988,16777216,84326,12805,16286,2.2053287240321688e-05,tensor(0.0820),26215
36,0.998299241065979,0.8705768585205078,0.8412005305290222,0.747696578502655,16777216,84560,12571,15963,2.134417925023137e-05,tensor(0.0803),26215
37,0.9983365535736084,0.8733257055282593,0.8446296453475952,0.7524459958076477,16777216,84827,12304,15604,2.058144083376444e-05,tensor(0.0789),26215
