,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size
0,0.942352294921875,0.0,0.0,0.0,32768.0,0.0,1889.0,0.0,100000.0,0.4857197403907776,8353.0
1,0.942352294921875,0.0,0.0,0.0,32768.0,0.0,1889.0,0.0,100000.0,0.2684589922428131,8353.0
2,0.942352294921875,0.0,0.0,0.0,32768.0,0.0,1889.0,0.0,100000.0,0.2440589964389801,8353.0
3,0.942352294921875,0.0,0.0,0.0,32768.0,0.0,1889.0,0.0,100000.0,0.208701491355896,8353.0
4,0.94635009765625,0.07940709590911865,0.8875739574432373,0.07861635088920593,32768.0,150.0,1739.0,19.0,0.3434324866441027,0.1658126562833786,8353.0
5,0.944854736328125,0.27527791261672974,0.5427975058555603,0.22346368432044983,32768.0,520.0,1369.0,438.0,0.026590233942857838,0.13373717665672302,8353.0
6,0.947998046875,0.46532556414604187,0.5588048100471497,0.3403019607067108,32768.0,879.0,1010.0,694.0,0.009891431906860645,0.10686063766479492,8353.0
7,0.9639892578125,0.7162519693374634,0.6775162816047668,0.5341492295265198,32768.0,1353.0,536.0,644.0,0.004329802546925205,0.08220180869102478,8353.0
8,0.973419189453125,0.7893065214157104,0.7591649889945984,0.6312447190284729,32768.0,1491.0,398.0,473.0,0.002910480521744498,0.06451267749071121,8353.0
9,0.979766845703125,0.7919533848762512,0.8471121191978455,0.6929134130477905,32768.0,1496.0,393.0,270.0,0.0019535594214763067,0.05129014328122139,8353.0
10,0.98516845703125,0.8491265177726746,0.8886426687240601,0.7674641013145447,32768.0,1604.0,285.0,201.0,0.0013128886951574137,0.04037996381521225,8353.0
11,0.989410400390625,0.8925357460975647,0.9213114976882935,0.829316258430481,32768.0,1686.0,203.0,144.0,0.0008998589222331183,0.031085392460227013,8353.0
12,0.992950439453125,0.9343568086624146,0.9428418874740601,0.8842685222625732,32768.0,1765.0,124.0,107.0,0.0006111529815271047,0.02377135120332241,8353.0
13,0.9947509765625,0.9571201801300049,0.9520800709724426,0.9131312966346741,32768.0,1808.0,81.0,91.0,0.00046165086539375576,0.018269997090101242,8353.0
14,0.996978759765625,0.9777660369873047,0.9700630307197571,0.9491264224052429,32768.0,1847.0,42.0,57.0,0.00034125014318856184,0.013872645795345306,8353.0
15,0.99786376953125,0.9851773381233215,0.9779295921325684,0.963749349117279,32768.0,1861.0,28.0,42.0,0.000279590443553087,0.010503789409995079,8353.0
16,0.9986572265625,0.9925886988639832,0.9842519760131836,0.9770714044570923,32768.0,1875.0,14.0,30.0,0.00021759879687484804,0.007952352985739708,8353.0
17,0.999114990234375,0.995764970779419,0.988959014415741,0.9848167300224304,32768.0,1881.0,8.0,21.0,0.00013155365976801886,0.006041468121111393,8353.0
18,0.99951171875,0.9973530769348145,0.9941952228546143,0.9915789365768433,32768.0,1884.0,5.0,11.0,8.867059989021289e-05,0.0043604071252048016,8353.0
19,0.999786376953125,0.9989412426948547,0.9973573088645935,0.9963040947914124,32768.0,1887.0,2.0,5.0,6.400959691246865e-05,0.003023548750206828,8353.0
20,0.99993896484375,0.999470591545105,0.999470591545105,0.9989417791366577,32768.0,1888.0,1.0,1.0,4.135786130227634e-06,0.0019125918624922633,8353.0
21,0.99993896484375,0.999470591545105,0.999470591545105,0.9989417791366577,32768.0,1888.0,1.0,1.0,4.135786130227634e-06,0.0014323743525892496,8353.0
22,0.999969482421875,1.0,0.9994708895683289,0.9994708895683289,32768.0,1889.0,0.0,1.0,2.066798941798942e-06,0.0010253789369016886,8353.0
23,1.0,1.0,1.0,1.0,32768.0,1889.0,0.0,0.0,0.0,0.000776162720285356,8353.0
