,accuracy,precision,recall,iou,num,tp,fp,fn,cd,loss,size,architecture,sequence
0,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,2.6934068955597468e-05,5049,"{'main': [(32, 'relu'), (40, 'swish'), (40, 'elu'), (1, '')], 'skip': []}","[4, 6, 8, 15]"
1,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,4.438797986949794e-06,7113,"{'main': [(32, 'relu'), (32, 'swish'), (40, 'elu'), (64, 'relu'), (1, '')], 'skip': []}","[4, 3, 8, 13, 15]"
2,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,1.019221144815674e-05,9249,"{'main': [(32, 'swish'), (48, 'relu'), (16, 'swish'), (16, 'swish'), (48, 'elu'), (32, 'relu'), (64, 'elu'), (1, '')], 'skip': []}","[3, 10, 0, 0, 11, 4, 14, 15]"
3,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,5.494358447322156e-06,11497,"{'main': [(48, 'relu'), (64, 'elu'), (40, 'swish'), (64, 'swish'), (1, '')], 'skip': []}","[10, 14, 6, 12, 15]"
4,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,1.1520968428158085e-06,11881,"{'main': [(64, 'relu'), (32, 'relu'), (48, 'elu'), (32, 'relu'), (40, 'elu'), (16, 'relu'), (32, 'relu'), (1, '')], 'skip': []}","[13, 4, 11, 4, 8, 1, 4, 15]"
5,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,2.786489176287432e-06,11913,"{'main': [(48, 'relu'), (32, 'swish'), (40, 'swish'), (32, 'swish'), (40, 'elu'), (40, 'elu'), (40, 'relu'), (1, '')], 'skip': []}","[10, 3, 6, 3, 8, 8, 7, 15]"
6,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,1.425206164640258e-06,12777,"{'main': [(64, 'relu'), (16, 'elu'), (40, 'elu'), (40, 'elu'), (40, 'swish'), (64, 'relu'), (16, 'relu'), (1, '')], 'skip': []}","[13, 2, 8, 8, 6, 13, 1, 15]"
7,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,6.110977665230166e-06,14593,"{'main': [(48, 'relu'), (64, 'relu'), (64, 'swish'), (64, 'elu'), (1, '')], 'skip': []}","[10, 13, 12, 14, 15]"
8,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,1.97825420400477e-06,14785,"{'main': [(48, 'relu'), (40, 'relu'), (64, 'swish'), (40, 'relu'), (64, 'relu'), (16, 'elu'), (48, 'swish'), (1, '')], 'skip': []}","[10, 7, 12, 7, 13, 2, 9, 15]"
9,1.0,1.0,1.0,1.0,32768,1229,0,0,0.0,7.481582088075811e-06,14897,"{'main': [(64, 'elu'), (64, 'relu'), (16, 'relu'), (16, 'relu'), (32, 'swish'), (48, 'relu'), (64, 'elu'), (1, '')], 'skip': []}","[14, 13, 1, 1, 3, 10, 14, 15]"
