,loss
0,-2.950681209564209
1,-4.585444927215576
2,-3.482952117919922
3,-3.101268768310547
4,-3.61494517326355
5,-3.9067115783691406
6,-1.4514731168746948
7,-2.313991069793701
8,-0.9711379408836365
9,-0.1327786147594452
